Username;Name;Gender;Party
RepTomSuozzi;Tom Suozzi;Male;Democratic
RepSwalwell;Eric Swalwell;Male;Democratic
RepMarkTakano;Mark Takano;Male;Democratic
claudiatenney;Claudia Tenney;Female;Republican
BennieGThompson;Bennie Thompson;Male;Democratic
RepThompson;Mike Thompson;Male;Democratic
RepTiffany;Tom Tiffany;Male;Republican
RepTimmons;William Timmons;Male;Republican
repdinatitus;Dina Titus;Female;Democratic
RepRashida;Rashida Tlaib;Female;Democratic
RepPaulTonko;Paul Tonko;Male;Democratic
NormaJTorres;Norma J. Torres;Female;Democratic
RepRitchie;Ritchie Torres;Male;Democratic
RepLoriTrahan;Lori Trahan;Female;Democratic
RepDavidTrone;David Trone;Male;Democratic
RepMikeTurner;Mike Turner;Male;Republican
RepUnderwood;Lauren Underwood;Female;Democratic
RepDavidValadao;David Valadao;Male;Republican
RepBethVanDuyne;Beth Van Duyne;Female;Republican
RepJuanVargas;Juan Vargas;Male;Democratic
RepVeasey;Marc Veasey;Male;Democratic
NydiaVelazquez;Nydia Velázquez;Male;Democratic
RepAnnWagner;Ann Wagner;Female;Republican
RepWalberg;Tim Walberg;Male;Republican
RepWalorski;Jackie Walorski;Female;Republican
michaelgwaltz;Michael Waltz;Male;Republican
RepDWStweets;Debbie Wasserman Schultz;Female;Democratic
RepBonnie;Bonnie Watson Coleman;Female;Democratic
RepWebster;Daniel Webster;Male;Republican
PeterWelch;Peter Welch;Male;Democratic
RepWesterman;Bruce Westerman;Male;Republican
RepWexton;Jennifer Wexton;Female;Democratic
RepSusanWild;Susan Wild;Female;Democratic
RepNikema;Nikema Williams;Female;Democratic
RepRWilliams;Joe Wilson;Male;Republican
RepWilson;Frederica Wilson;Female;Democratic
RepJoeWilson;Joe Wilson;Male;Republican
RobWittman;Rob Wittman;Male;Republican
rep_stevewomack;Steve Womack;Male;Republican
RepJohnYarmuth;John Yarmuth;Male;Democratic
RepLeeZeldin;Lee Zeldin;Male;Republican
